epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1810.15,1.27125,2.20506,1.77336,0.6199,0.61993,0.63741,0.32025,1.20032,2.19389,1.92593,0.0670719,0.000332607,0.000332607
2,3642.66,1.27501,1.56495,1.74672,0.81672,0.72325,0.80057,0.46133,1.29448,1.55632,1.933,0.034017,0.000611,0.000611
3,5349.22,1.27518,1.44292,1.95801,0.86864,0.78085,0.82906,0.50752,1.30194,1.28324,1.93616,0.000907015,0.000834394,0.000834394
4,7014.77,1.20822,1.26534,1.86459,0.88215,0.78598,0.85799,0.51625,1.30233,1.23516,1.90766,0.0007525,0.0007525,0.0007525
5,8851.48,1.12764,1.16358,1.7838,0.86889,0.80074,0.85748,0.51464,1.34702,1.18701,1.95074,0.00067,0.00067,0.00067
6,10696.7,1.07019,1.09019,1.72908,0.89001,0.80622,0.86179,0.53183,1.27854,1.13403,1.90512,0.0005875,0.0005875,0.0005875
7,12409,1.01181,1.03408,1.6665,0.89326,0.80074,0.87007,0.52919,1.31715,1.13274,1.90775,0.000505,0.000505,0.000505
8,14033.9,0.9776,0.98475,1.63593,0.86221,0.8524,0.87246,0.5552,1.24073,1.07689,1.85989,0.0004225,0.0004225,0.0004225
9,16218.3,0.94849,0.96316,1.60537,0.89588,0.83026,0.87675,0.55103,1.23257,1.12176,1.85854,0.00034,0.00034,0.00034
10,18053.9,0.91328,0.93321,1.56815,0.86989,0.83882,0.87161,0.55228,1.2409,1.09919,1.83946,0.0002575,0.0002575,0.0002575
11,19748,0.89397,0.89693,1.54858,0.89437,0.84354,0.87699,0.55932,1.24906,1.07458,1.85606,0.000175,0.000175,0.000175
12,21370.4,0.88992,0.89921,1.55141,0.87589,0.84502,0.87513,0.55669,1.2413,1.07332,1.8526,9.25e-05,9.25e-05,9.25e-05
